timestamp,seq,cpu_percent,rx_bytes,tx_bytes,rx_drop,tx_drop,tcp_retrans_segs,tcp_retrans_delta,send_success,rtt_ms,jitter_ms,total_sent,total_success,total_failures,loss_rate
1761477586.1572201,0,100.0,8056,1623,0,0,0,0,1,56.244,0.0,1,1,0,0.0
1761477590.2029793,1,32.5,10988,2467,0,0,0,0,1,41.575,0.917,2,2,0,0.0
1761477594.2526739,2,27.5,11857,3241,0,0,0,0,1,44.078,1.016,3,3,0,0.0
1761477598.3022833,3,25.3,13492,4086,0,0,0,0,1,44.674,0.99,4,4,0,0.0
1761477602.3555672,4,38.4,14431,4861,0,0,0,0,1,43.029,1.031,5,5,0,0.0
1761477606.4037771,5,34.6,14979,5635,0,0,0,0,1,42.137,1.022,6,6,0,0.0
1761477610.4524052,6,29.3,15807,6410,0,0,0,0,1,43.793,1.062,7,7,0,0.0
1761477614.5017717,7,21.4,17166,7254,0,0,0,0,1,43.38,1.021,8,8,0,0.0
1761477618.5512273,8,9.8,18101,8029,0,0,0,0,1,44.268,1.013,9,9,0,0.0
1761477622.6039395,9,20.1,18649,8803,0,0,0,0,1,46.679,1.1,10,10,0,0.0
1761477626.6543212,10,53.6,19197,9579,0,0,0,0,1,42.773,1.275,11,11,0,0.0
1761477630.7027547,11,35.7,19745,10354,0,0,0,0,1,42.381,1.22,12,12,0,0.0
1761477634.7519326,12,15.9,20293,11130,0,0,0,0,1,43.841,1.235,13,13,0,0.0
1761477638.8038158,13,16.5,20841,11907,0,0,0,0,1,45.06,1.234,14,14,0,0.0
1761477642.8512948,14,42.2,21669,12682,0,0,0,0,1,42.681,1.306,15,15,0,0.0
1761477646.899911,15,35.8,23065,13528,0,0,0,0,1,41.765,1.281,16,16,0,0.0
1761477650.948509,16,14.8,23753,14304,0,0,0,0,1,41.771,1.202,17,17,0,0.0
1761477654.995314,17,12.3,24511,15080,0,0,0,0,1,41.447,1.147,18,18,0,0.0
1761477659.0462177,18,13.2,25059,15855,0,0,0,0,1,44.533,1.268,19,19,0,0.0
1761477663.104817,19,18.0,25607,16631,0,0,0,0,1,51.976,1.654,20,20,0,0.0
1761477667.1549337,20,17.7,26155,17407,0,0,0,0,1,45.317,1.967,21,21,0,0.0
1761477671.2041514,21,15.6,26703,18183,0,0,0,0,1,43.761,1.941,22,22,0,0.0
1761477675.2508664,22,14.5,27251,18959,0,0,0,0,1,44.158,1.845,23,23,0,0.0
1761477679.2978113,23,34.4,27799,19734,0,0,0,0,1,41.523,1.894,24,24,0,0.0
1761477683.3410928,24,17.2,28347,20510,0,0,0,0,1,41.019,1.807,25,25,0,0.0
1761477687.385121,25,18.7,28895,21286,0,0,0,0,1,42.062,1.759,26,26,0,0.0
1761477691.441164,26,18.6,29443,22062,0,0,0,0,1,47.149,1.967,27,27,0,0.0
1761477695.4948306,27,13.2,29991,22838,0,0,0,0,1,45.804,1.928,28,28,0,0.0
1761477699.5461695,28,22.6,30679,23613,0,0,0,0,1,44.595,1.883,29,29,0,0.0
1761477703.5981832,29,21.8,31227,24390,0,0,0,0,1,45.082,1.796,30,30,0,0.0
1761477707.646249,30,22.3,32125,25236,0,0,0,0,1,42.224,1.863,31,31,0,0.0
1761477711.696055,31,24.0,33241,26010,0,0,0,0,1,44.426,1.884,32,32,0,0.0
1761477715.74534,32,13.9,33929,26786,0,0,0,0,1,43.792,1.806,33,33,0,0.0
1761477719.789251,33,20.5,34477,27561,0,0,0,0,1,41.869,1.813,34,34,0,0.0
1761477723.8368242,34,21.3,35095,28337,0,0,0,0,1,41.914,1.702,35,35,0,0.0
1761477727.8847675,35,17.9,35713,29112,0,0,0,0,1,41.788,1.604,36,36,0,0.0
1761477731.9317508,36,18.1,36261,29888,0,0,0,0,1,42.635,1.557,37,37,0,0.0
1761477735.9789612,37,18.0,36949,30664,0,0,0,0,1,41.752,1.514,38,38,0,0.0
1761477740.0322878,38,15.8,37497,31440,0,0,0,0,1,45.924,1.681,39,39,0,0.0
1761477744.080289,39,18.2,38045,32215,0,0,0,0,1,42.109,1.814,40,40,0,0.0
1761477748.1290147,40,20.5,38593,32990,0,0,0,0,1,42.748,1.741,41,41,0,0.0
1761477752.1780677,41,23.4,39141,33764,0,0,0,0,1,43.006,1.648,42,42,0,0.0
1761477756.227514,42,16.8,39689,34540,0,0,0,0,1,44.776,1.656,43,43,0,0.0
1761477760.2749617,43,35.2,40237,35315,0,0,0,0,1,41.691,1.745,44,44,0,0.0
1761477764.3222668,44,40.8,40785,36091,0,0,0,0,1,41.756,1.64,45,45,0,0.0
1761477768.3677797,45,19.0,41333,36867,0,0,0,0,1,42.351,1.575,46,46,0,0.0
1761477772.4184885,46,13.4,41881,37643,0,0,0,0,1,44.03,1.581,47,47,0,0.0
