detected_at,interface,packet_count,pps,bandwidth_mbps,jitter_ms,entropy,dominant_src,dominant_share,ip_shares,reason
1761478436.5422685,h1-eth0,52,32.708,0.029528,5.53,0.864,10.0.1.1,0.5,"{""10.0.1.11"": 0.115, ""10.0.1.1"": 0.5, ""10.0.1.254"": 0.269, ""10.0.1.12"": 0.115}","{""low_entropy"": true, ""high_jitter"": false, ""high_pps"": false, ""high_bandwidth"": false}"
1761478441.5573263,h1-eth0,128,27.514,0.02607,33.628,0.82,10.0.1.1,0.5,"{""10.0.1.11"": 0.141, ""10.0.1.1"": 0.5, ""10.0.1.13"": 0.094, ""10.0.1.254"": 0.219, ""10.0.1.12"": 0.047}","{""low_entropy"": true, ""high_jitter"": false, ""high_pps"": false, ""high_bandwidth"": false}"
1761478446.567209,h1-eth0,116,31.915,0.031179,65.201,0.815,10.0.1.1,0.5,"{""10.0.1.12"": 0.103, ""10.0.1.1"": 0.5, ""10.0.1.254"": 0.241, ""10.0.1.11"": 0.103, ""10.0.1.13"": 0.052}","{""low_entropy"": true, ""high_jitter"": true, ""high_pps"": false, ""high_bandwidth"": false}"
1761478451.5766487,h1-eth0,128,31.06,0.030235,95.995,0.82,10.0.1.1,0.5,"{""10.0.1.11"": 0.141, ""10.0.1.1"": 0.5, ""10.0.1.254"": 0.219, ""10.0.1.12"": 0.094, ""10.0.1.13"": 0.047}","{""low_entropy"": true, ""high_jitter"": true, ""high_pps"": false, ""high_bandwidth"": false}"
1761478456.587189,h1-eth0,118,28.542,0.028165,114.328,0.772,10.0.1.1,0.5,"{""10.0.1.1"": 0.5, ""10.0.1.254"": 0.297, ""10.0.1.11"": 0.102, ""10.0.1.13"": 0.051, ""10.0.1.12"": 0.051}","{""low_entropy"": true, ""high_jitter"": true, ""high_pps"": false, ""high_bandwidth"": false}"
1761478461.5970275,h1-eth0,154,36.323,0.034977,145.712,0.828,10.0.1.1,0.5,"{""10.0.1.1"": 0.5, ""10.0.1.254"": 0.227, ""10.0.1.12"": 0.078, ""10.0.1.13"": 0.078, ""10.0.1.11"": 0.117}","{""low_entropy"": true, ""high_jitter"": true, ""high_pps"": false, ""high_bandwidth"": false}"
