timestamp,seq,cpu_percent,rx_bytes,tx_bytes,rx_drop,tx_drop,tcp_retrans_segs,tcp_retrans_delta,send_success,rtt_ms,jitter_ms,total_sent,total_success,total_failures,loss_rate
1761477586.0886774,0,100.0,8122,1716,0,0,0,0,1,61.876,0.0,1,1,0,0.0
1761477589.1349053,1,42.5,10807,2561,0,0,0,0,1,42.114,1.235,2,2,0,0.0
1761477592.1803608,2,9.7,11853,3336,0,0,0,0,1,41.074,1.223,3,3,0,0.0
1761477595.2310019,3,41.6,12611,4111,0,0,0,0,1,44.413,1.355,4,4,0,0.0
1761477598.2783601,4,21.4,14036,4955,0,0,0,0,1,43.028,1.357,5,5,0,0.0
1761477601.3279028,5,34.2,14975,5729,0,0,0,0,1,44.842,1.386,6,6,0,0.0
1761477604.3773549,6,38.2,15523,6504,0,0,0,0,1,43.889,1.359,7,7,0,0.0
1761477607.4263973,7,33.6,16071,7279,0,0,0,0,1,43.235,1.315,8,8,0,0.0
1761477610.475318,8,31.2,16899,8123,0,0,0,0,1,43.725,1.263,9,9,0,0.0
1761477613.5241501,9,20.7,18044,8898,0,0,0,0,1,43.73,1.184,10,10,0,0.0
1761477616.573144,10,14.8,19193,9674,0,0,0,0,1,44.229,1.142,11,11,0,0.0
1761477619.6200492,11,11.2,19741,10450,0,0,0,0,1,42.756,1.162,12,12,0,0.0
1761477622.6665616,12,22.5,20289,11227,0,0,0,0,1,43.035,1.107,13,13,0,0.0
1761477625.728798,13,57.1,20837,12003,0,0,0,0,1,54.163,1.733,14,14,0,0.0
1761477628.7763433,14,26.3,21385,12778,0,0,0,0,1,42.397,2.36,15,15,0,0.0
1761477631.8275938,15,43.9,21933,13553,0,0,0,0,1,45.358,2.398,16,16,0,0.0
1761477634.8763497,16,11.8,22481,14329,0,0,0,0,1,43.642,2.355,17,17,0,0.0
1761477637.9234166,17,14.5,23099,15105,0,0,0,0,1,43.437,2.221,18,18,0,0.0
1761477640.9712546,18,29.1,23717,15951,0,0,0,0,1,42.518,2.14,19,19,0,0.0
1761477644.0244753,19,56.8,24615,16727,0,0,0,0,1,44.314,2.118,20,20,0,0.0
1761477647.0694747,20,24.2,25801,17502,0,0,0,0,1,41.046,2.19,21,21,0,0.0
1761477650.1162837,21,12.5,26349,18277,0,0,0,0,1,42.031,2.115,22,22,0,0.0
1761477653.162843,22,17.2,27037,19053,0,0,0,0,1,41.536,2.014,23,23,0,0.0
1761477656.2079947,23,12.7,27795,19829,0,0,0,0,1,41.786,1.903,24,24,0,0.0
1761477659.2581937,24,11.6,28343,20604,0,0,0,0,1,44.567,1.958,25,25,0,0.0
1761477662.3084629,25,18.3,28891,21379,0,0,0,0,1,43.922,1.876,26,26,0,0.0
1761477665.353022,26,14.6,29439,22154,0,0,0,0,1,42.191,1.867,27,27,0,0.0
1761477668.4005187,27,20.3,29987,22930,0,0,0,0,1,44.237,1.878,28,28,0,0.0
1761477671.4520109,28,16.3,30535,23706,0,0,0,0,1,46.496,1.902,29,29,0,0.0
1761477674.497704,29,12.6,31083,24482,0,0,0,0,1,41.851,2.073,30,30,0,0.0
1761477677.5449653,30,35.4,31631,25258,0,0,0,0,1,42.675,1.995,31,31,0,0.0
1761477680.593914,31,22.2,32179,26034,0,0,0,0,1,44.494,1.984,32,32,0,0.0
1761477683.6392252,32,16.4,32727,26808,0,0,0,0,1,41.488,2.048,33,33,0,0.0
1761477686.6847024,33,19.3,33275,27584,0,0,0,0,1,42.019,1.953,34,34,0,0.0
1761477689.7308664,34,13.9,33823,28360,0,0,0,0,1,41.62,1.856,35,35,0,0.0
1761477692.781009,35,24.0,34371,29135,0,0,0,0,1,44.341,1.91,36,36,0,0.0
1761477695.8320248,36,12.6,34989,29911,0,0,0,0,1,46.52,1.927,37,37,0,0.0
1761477698.8830705,37,21.9,35537,30687,0,0,0,0,1,45.246,1.886,38,38,0,0.0
1761477701.9380522,38,25.0,36155,31533,0,0,0,0,1,43.774,1.86,39,39,0,0.0
1761477704.9849372,39,13.5,36703,32309,0,0,0,0,1,42.072,1.85,40,40,0,0.0
1761477708.0296223,40,25.5,37671,33085,0,0,0,0,1,41.64,1.762,41,41,0,0.0
1761477711.07734,41,20.7,38647,33861,0,0,0,0,1,43.846,1.79,42,42,0,0.0
1761477714.123397,42,19.5,39265,34637,0,0,0,0,1,41.766,1.808,43,43,0,0.0
1761477717.173913,43,22.8,39953,35413,0,0,0,0,1,44.756,1.882,44,44,0,0.0
1761477720.2260258,44,15.9,40571,36189,0,0,0,0,1,42.72,1.891,45,45,0,0.0
1761477723.2721732,45,21.7,41119,36964,0,0,0,0,1,42.149,1.809,46,46,0,0.0
1761477726.3179202,46,19.8,41737,37739,0,0,0,0,1,42.317,1.706,47,47,0,0.0
1761477729.3640769,47,13.6,42285,38515,0,0,0,0,1,42.165,1.609,48,48,0,0.0
1761477732.41035,48,21.7,42973,39290,0,0,0,0,1,41.415,1.555,49,49,0,0.0
1761477735.4561095,49,14.3,43521,40066,0,0,0,0,1,41.253,1.468,50,50,0,0.0
1761477738.5055652,50,22.0,44069,40841,0,0,0,0,1,43.69,1.529,51,51,0,0.0
1761477741.550702,51,17.7,44617,41616,0,0,0,0,1,43.11,1.469,52,52,0,0.0
1761477744.593557,52,15.4,45165,42392,0,0,0,0,1,41.334,1.489,53,53,0,0.0
1761477747.6415246,53,19.2,45713,43168,0,0,0,0,1,43.078,1.505,54,54,0,0.0
1761477750.6860113,54,18.1,46261,43944,0,0,0,0,1,41.95,1.481,55,55,0,0.0
1761477753.7333064,55,25.1,46809,44719,0,0,0,0,1,43.146,1.463,56,56,0,0.0
1761477756.784251,56,26.3,47357,45495,0,0,0,0,1,46.783,1.599,57,57,0,0.0
1761477759.8300374,57,32.5,47905,46271,0,0,0,0,1,41.507,1.829,58,58,0,0.0
1761477762.8784187,58,52.2,48453,47047,0,0,0,0,1,43.755,1.855,59,59,0,0.0
1761477765.9281025,59,17.9,49001,47823,0,0,0,0,1,44.084,1.76,60,60,0,0.0
1761477768.976878,60,15.6,49549,48599,0,0,0,0,1,43.86,1.664,61,61,0,0.0
1761477772.0253444,61,13.1,50097,49374,0,0,0,0,1,43.63,1.574,62,62,0,0.0
1761477775.0714707,62,16.0,50645,50150,0,0,0,0,1,42.047,1.575,63,63,0,0.0
1761477778.117906,63,11.1,51193,50925,0,0,0,0,1,41.908,1.485,64,64,0,0.0
1761477781.162304,64,11.4,51741,51701,0,0,0,0,1,42.184,1.409,65,65,0,0.0
1761477784.2092972,65,10.1,52289,52477,0,0,0,0,1,42.943,1.369,66,66,0,0.0
1761477787.2551599,66,12.9,52837,53253,0,0,0,0,1,41.779,1.356,67,67,0,0.0
1761477790.3043194,67,9.9,53385,54028,0,0,0,0,1,42.923,1.343,68,68,0,0.0
1761477793.351094,68,19.1,53933,54804,0,0,0,0,1,41.824,1.327,69,69,0,0.0
1761477796.3959582,69,9.8,54481,55580,0,0,0,0,1,42.512,1.288,70,70,0,0.0
1761477799.4434478,70,12.9,55029,56355,0,0,0,0,1,42.845,1.228,71,71,0,0.0
1761477802.4909189,71,10.1,55577,57130,0,0,0,0,1,41.946,1.207,72,72,0,0.0
1761477805.5374196,72,12.3,56125,57905,0,0,0,0,1,41.594,1.154,73,73,0,0.0
1761477808.5838075,73,8.9,56673,58681,0,0,0,0,1,42.69,1.15,74,74,0,0.0
1761477811.6327524,74,13.4,57361,59457,0,0,0,0,1,44.954,1.22,75,75,0,0.0
1761477814.6800308,75,10.6,57909,60303,0,0,0,0,1,41.582,1.354,76,76,0,0.0
1761477817.7319734,76,14.8,58457,61079,0,0,0,0,1,47.152,1.618,77,77,0,0.0
1761477820.7783144,77,8.9,59005,61855,0,0,0,0,1,42.426,1.812,78,78,0,0.0
1761477823.8272138,78,18.8,59553,62631,0,0,0,0,1,42.735,1.718,79,79,0,0.0
1761477826.8799143,79,12.8,60101,63405,0,0,0,0,1,46.487,1.845,80,80,0,0.0
1761477829.9393592,80,10.2,60649,64181,0,0,0,0,1,54.342,2.221,81,81,0,0.0
1761477832.9892654,81,12.9,61197,64957,0,0,0,0,1,44.924,2.671,82,82,0,0.0
1761477836.0357993,82,14.0,61815,65733,0,0,0,0,1,41.9,2.693,83,83,0,0.0
1761477839.0835915,83,26.5,63141,66509,0,0,0,0,1,42.602,2.568,84,84,0,0.0
1761477842.1325645,84,49.0,63689,67285,0,0,0,0,1,44.516,2.527,85,85,0,0.0
1761477845.1818268,85,50.0,64237,68060,0,0,0,0,1,43.058,2.461,86,86,0,0.0
1761477848.2336526,86,22.6,64925,68836,0,0,0,0,1,45.252,2.444,87,87,0,0.0
1761477851.2815516,87,25.5,65543,69612,0,0,0,0,1,42.428,2.468,88,88,0,0.0
1761477854.337109,88,12.5,66091,70387,0,0,0,0,1,46.249,2.552,89,89,0,0.0
1761477857.3857927,89,17.0,66639,71163,0,0,0,0,1,43.31,2.577,90,90,0,0.0
1761477860.4338522,90,15.8,67257,71939,0,0,0,0,1,44.199,2.471,91,91,0,0.0
1761477863.4804237,91,13.9,67875,72715,0,0,0,0,1,41.787,2.467,92,92,0,0.0
1761477866.5260406,92,15.8,68423,73491,0,0,0,0,1,41.506,2.331,93,93,0,0.0
1761477869.5736334,93,18.0,68971,74266,0,0,0,0,1,42.648,2.256,94,94,0,0.0
1761477872.621084,94,11.1,69519,75042,0,0,0,0,1,42.267,2.139,95,95,0,0.0
1761477875.66626,95,20.2,70067,75818,0,0,0,0,1,41.188,2.073,96,96,0,0.0
1761477878.7162676,96,13.8,70615,76594,0,0,0,0,1,44.858,2.173,97,97,0,0.0
1761477881.7849169,97,23.4,71163,77370,0,0,0,0,1,63.484,3.201,98,98,0,0.0
