global_round,started_at,finished_at,round_time,n_expected,n_received,avg_local_train_time,avg_model_delta_norm,avg_staleness,hosts
110,1761477245.9210234,1761477247.5359144,1.6148910522460938,3,3,0.0135,197.475667,0,"10.0.1.1,10.0.2.1,10.0.1.1"
111,1761477247.5359173,1761477249.48473,1.94881272315979,3,3,0.014033,197.359924,0,"10.0.2.1,10.0.1.1,10.0.2.1"
112,1761477249.484731,1761477251.6410732,2.1563422679901123,3,3,0.013967,186.632265,0,"10.0.1.1,10.0.2.1,10.0.1.1"
113,1761477251.6410742,1761477252.5989513,0.9578771591186523,3,3,0.015267,184.667648,0,"10.0.2.1,10.0.1.1,10.0.2.1"
114,1761477252.5989523,1761477255.2016356,2.6026833057403564,3,3,0.0102,192.758127,0,"10.0.1.1,10.0.2.1,10.0.1.1"
115,1761477255.2016363,1761477256.1615493,0.9599130153656006,3,3,0.021067,191.956754,0,"10.0.2.1,10.0.1.1,10.0.2.1"
116,1761477256.1615503,1761477258.2807136,2.1191632747650146,3,3,0.010367,197.405299,0,"10.0.1.1,10.0.2.1,10.0.1.1"
117,1761477258.2807145,1761477260.233789,1.9530744552612305,3,3,0.0169,196.81345,0,"10.0.2.1,10.0.1.1,10.0.2.1"
118,1761477260.2337897,1761477261.8797522,1.6459624767303467,3,3,0.016533,204.610505,0,"10.0.1.1,10.0.2.1,10.0.1.1"
119,1761477261.8797536,1761477263.9225063,2.042752742767334,3,3,0.014167,186.568186,0,"10.0.2.1,10.0.2.1,10.0.1.1"
120,1761477263.922507,1761477264.8721907,0.949683666229248,3,3,0.012933,189.740223,0,"10.0.2.1,10.0.1.1,10.0.2.1"
121,1761477264.8721917,1761477267.4876113,2.615419626235962,3,3,0.010267,188.197359,0,"10.0.1.1,10.0.2.1,10.0.1.1"
122,1761477267.487613,1761477268.461799,0.9741859436035156,3,3,0.017867,196.989966,0,"10.0.2.1,10.0.1.1,10.0.2.1"
123,1761477268.4617996,1761477270.6154737,2.1536741256713867,3,3,0.0102,203.996628,0,"10.0.1.1,10.0.2.1,10.0.1.1"
124,1761477270.6154742,1761477272.0460048,1.4305305480957031,3,3,0.011933,189.29345,0,"10.0.2.1,10.0.1.1,10.0.2.1"
125,1761477272.0460055,1761477273.6682804,1.6222748756408691,3,3,0.012333,196.829337,0,"10.0.1.1,10.0.2.1,10.0.1.1"
126,1761477273.6682813,1761477274.6055613,0.9372799396514893,3,3,0.011133,204.032999,0,"10.0.2.1,10.0.1.1,10.0.2.1"
127,1761477274.6055622,1761477276.243087,1.6375248432159424,3,3,0.0109,191.445076,0,"10.0.1.1,10.0.2.1,10.0.1.1"
128,1761477276.2430882,1761477277.18888,0.9457917213439941,3,3,0.0118,203.076066,0,"10.0.2.1,10.0.1.1,10.0.2.1"
129,1761477277.1888807,1761477279.304501,2.1156203746795654,3,3,0.0103,200.615834,0,"10.0.1.1,10.0.2.1,10.0.1.1"
130,1761477279.3045015,1761477280.3736372,1.0691356658935547,3,3,0.015433,200.188935,0,"10.0.1.1,10.0.2.1,10.0.1.1"
131,1761477280.3736382,1761477282.7823334,2.4086952209472656,3,3,0.013733,195.299054,0,"10.0.2.1,10.0.1.1,10.0.2.1"
132,1761477282.7823348,1761477284.365701,1.5833661556243896,3,3,0.011,191.020945,0,"10.0.2.1,10.0.1.1,10.0.2.1"
133,1761477284.3657043,1761477285.5069962,1.141291856765747,3,3,0.012167,193.266669,0,"10.0.1.1,10.0.2.1,10.0.1.1"
134,1761477285.5069985,1761477286.942805,1.4358065128326416,3,3,0.010233,200.787986,0,"10.0.2.1,10.0.1.1,10.0.2.1"
135,1761477286.9428067,1761477288.5702374,1.6274306774139404,3,3,0.013533,190.614386,0,"10.0.1.1,10.0.2.1,10.0.1.1"
136,1761477288.5702384,1761477291.0136507,2.4434123039245605,3,3,0.014267,198.380956,0,"10.0.2.1,10.0.1.1,10.0.2.1"
137,1761477291.0136516,1761477292.131398,1.117746353149414,3,3,0.010167,193.961424,0,"10.0.1.1,10.0.2.1,10.0.1.1"
138,1761477292.131399,1761477293.0682166,0.9368176460266113,3,3,0.0105,201.803145,0,"10.0.2.1,10.0.1.1,10.0.2.1"
139,1761477293.0682173,1761477296.195646,3.1274287700653076,3,3,0.0172,196.105329,0,"10.0.1.1,10.0.2.1,10.0.1.1"
140,1761477296.195647,1761477297.1408494,0.9452023506164551,3,3,0.0119,191.112819,0,"10.0.2.1,10.0.1.1,10.0.2.1"
141,1761477297.14085,1761477298.752637,1.6117868423461914,3,3,0.010233,195.718247,0,"10.0.1.1,10.0.2.1,10.0.1.1"
142,1761477298.7526402,1761477300.6975803,1.9449400901794434,3,3,0.010167,191.755292,0,"10.0.2.1,10.0.1.1,10.0.2.1"
143,1761477300.6975815,1761477302.8452508,2.1476693153381348,3,3,0.0198,192.727621,0,"10.0.1.1,10.0.2.1,10.0.1.1"
144,1761477302.8452523,1761477304.3182552,1.4730029106140137,3,3,0.0137,197.503351,0,"10.0.2.1,10.0.1.1,10.0.2.1"
145,1761477304.3182561,1761477305.3367624,1.0185062885284424,3,3,0.0149,189.500639,0,"10.0.1.1,10.0.1.1,10.0.2.1"
146,1761477305.3367634,1761477308.3868775,3.050114154815674,3,3,0.017633,196.509743,0,"10.0.1.1,10.0.2.1,10.0.2.1"
147,1761477308.386878,1761477309.411052,1.0241739749908447,3,3,0.0102,199.714809,0,"10.0.1.1,10.0.1.1,10.0.2.1"
148,1761477309.4110534,1761477311.029095,1.6180415153503418,3,3,0.0102,191.3668,0,"10.0.1.1,10.0.2.1,10.0.1.1"
149,1761477311.029096,1761477312.5638564,1.5347604751586914,3,3,0.013633,199.213393,0,"10.0.2.1,10.0.2.1,10.0.1.1"
150,1761477312.5638573,1761477315.1249378,2.5610804557800293,3,3,0.017533,192.140154,0,"10.0.1.1,10.0.2.1,10.0.1.1"
151,1761477315.1249397,1761477316.571724,1.446784257888794,3,3,0.017233,204.193435,0,"10.0.2.1,10.0.1.1,10.0.2.1"
152,1761477316.5717256,1761477319.2195837,2.647858142852783,3,3,0.015367,196.133142,0,"10.0.1.1,10.0.2.1,10.0.1.1"
153,1761477319.219585,1761477320.659416,1.439831018447876,3,3,0.013733,195.749243,0,"10.0.2.1,10.0.1.1,10.0.2.1"
154,1761477320.6594188,1761477322.2834878,1.6240689754486084,3,3,0.0102,201.020674,0,"10.0.1.1,10.0.2.1,10.0.1.1"
1,1761477493.6259935,1761477497.218004,3.592010498046875,3,3,0.023533,199.070743,0,"10.0.1.1,10.0.2.1,10.0.1.1"
2,1761477497.218005,1761477498.5799148,1.3619098663330078,3,3,0.0103,193.521277,0,"10.0.2.1,10.0.1.1,10.0.2.1"
3,1761477498.5799177,1761477501.2981987,2.7182810306549072,3,3,0.020533,193.142303,0,"10.0.1.1,10.0.2.1,10.0.1.1"
4,1761477501.2982001,1761477503.71014,2.411939859390259,3,3,0.022167,201.956673,0,"10.0.2.1,10.0.1.1,10.0.2.1"
5,1761477503.7101414,1761477505.3717775,1.6616361141204834,3,3,0.010367,196.894889,0,"10.0.1.1,10.0.2.1,10.0.1.1"
6,1761477505.371778,1761477507.828532,2.456753969192505,3,3,0.023667,188.022013,0,"10.0.2.1,10.0.1.1,10.0.2.1"
7,1761477507.8285327,1761477510.4494302,2.6208975315093994,3,3,0.013,205.418447,0,"10.0.1.1,10.0.2.1,10.0.1.1"
8,1761477510.4494317,1761477511.9812977,1.5318660736083984,3,3,0.017333,202.926669,0,"10.0.2.1,10.0.1.1,10.0.2.1"
9,1761477511.9812982,1761477515.534705,3.5534067153930664,3,3,0.020433,194.138726,0,"10.0.1.1,10.0.2.1,10.0.1.1"
10,1761477515.534706,1761477517.055202,1.520495891571045,3,3,0.013767,202.917303,0,"10.0.2.1,10.0.1.1,10.0.2.1"
11,1761477517.0552034,1761477519.612451,2.5572476387023926,3,3,0.016867,183.125284,0,"10.0.1.1,10.0.2.1,10.0.1.1"
12,1761477519.6124516,1761477522.1646996,2.552248001098633,3,3,0.017167,201.162903,0,"10.0.2.1,10.0.1.1,10.0.2.1"
13,1761477522.1647005,1761477523.6786642,1.5139636993408203,3,3,0.0139,192.931024,0,"10.0.1.1,10.0.2.1,10.0.1.1"
14,1761477523.6786664,1761477525.7110882,2.032421827316284,3,3,0.0193,204.900394,0,"10.0.2.1,10.0.2.1,10.0.1.1"
15,1761477525.7110894,1761477527.7422304,2.0311410427093506,3,3,0.0137,192.363695,0,"10.0.2.1,10.0.2.1,10.0.1.1"
16,1761477527.7422311,1761477528.764626,1.0223948955535889,3,3,0.010367,201.885664,0,"10.0.2.1,10.0.2.1,10.0.1.1"
17,1761477528.7646272,1761477530.3754406,1.6108133792877197,3,3,0.010267,191.876692,0,"10.0.2.1,10.0.1.1,10.0.2.1"
18,1761477530.3754413,1761477532.4264,2.0509586334228516,3,3,0.0204,192.04711,0,"10.0.1.1,10.0.2.1,10.0.2.1"
19,1761477532.4264016,1761477534.8749316,2.4485299587249756,3,3,0.010333,197.601509,0,"10.0.1.1,10.0.2.1,10.0.1.1"
20,1761477534.8749354,1761477536.0184076,1.1434721946716309,3,3,0.019,199.056989,0,"10.0.2.1,10.0.1.1,10.0.2.1"
21,1761477536.0184093,1761477538.0968142,2.0784049034118652,3,3,0.014633,204.093923,0,"10.0.2.1,10.0.1.1,10.0.2.1"
22,1761477538.096816,1761477540.1284363,2.0316202640533447,3,3,0.0135,190.122417,0,"10.0.2.1,10.0.1.1,10.0.2.1"
23,1761477540.1284368,1761477541.1637654,1.0353286266326904,3,3,0.010333,189.23568,0,"10.0.2.1,10.0.1.1,10.0.2.1"
24,1761477541.1637678,1761477544.0460134,2.8822455406188965,3,3,0.017033,202.007302,0,"10.0.1.1,10.0.2.1,10.0.1.1"
25,1761477544.0460143,1761477546.065279,2.0192646980285645,3,3,0.015967,196.367682,0,"10.0.2.1,10.0.2.1,10.0.1.1"
26,1761477546.0652816,1761477547.282133,1.2168514728546143,3,3,0.010233,205.81246,0,"10.0.2.1,10.0.1.1,10.0.2.1"
27,1761477547.282134,1761477548.821591,1.539456844329834,3,3,0.0143,190.533383,0,"10.0.1.1,10.0.2.1,10.0.2.1"
28,1761477548.8215919,1761477550.8633595,2.0417675971984863,3,3,0.013467,185.548317,0,"10.0.1.1,10.0.2.1,10.0.2.1"
29,1761477550.8633604,1761477552.9018729,2.0385124683380127,3,3,0.013633,194.05839,0,"10.0.1.1,10.0.2.1,10.0.2.1"
30,1761477552.9018738,1761477554.2177744,1.3159005641937256,3,3,0.010267,199.702825,0,"10.0.1.1,10.0.2.1,10.0.1.1"
31,1761477554.2177777,1761477556.4874294,2.2696516513824463,3,3,0.017667,201.062667,0,"10.0.2.1,10.0.1.1,10.0.2.1"
1,1761477584.4538188,1761477588.1194181,3.6655993461608887,3,3,0.024933,199.082176,0,"10.0.1.1,10.0.2.1,10.0.1.1"
2,1761477588.1194205,1761477589.3884332,1.269012689590454,3,3,0.0105,201.681366,0,"10.0.2.1,10.0.1.1,10.0.2.1"
3,1761477589.388434,1761477592.1870046,2.7985706329345703,3,3,0.020167,197.620034,0,"10.0.1.1,10.0.2.1,10.0.1.1"
4,1761477592.1870053,1761477594.4831696,2.2961642742156982,3,3,0.0205,193.095826,0,"10.0.2.1,10.0.1.1,10.0.2.1"
5,1761477594.4831705,1761477596.2510698,1.7678992748260498,3,3,0.010333,198.848694,0,"10.0.1.1,10.0.2.1,10.0.1.1"
6,1761477596.251072,1761477598.5691955,2.3181235790252686,3,3,0.024133,195.681094,0,"10.0.2.1,10.0.1.1,10.0.2.1"
7,1761477598.5691965,1761477601.3333788,2.7641823291778564,3,3,0.0105,194.845974,0,"10.0.1.1,10.0.2.1,10.0.1.1"
8,1761477601.3333795,1761477602.6402853,1.306905746459961,3,3,0.016967,190.796028,0,"10.0.2.1,10.0.1.1,10.0.2.1"
9,1761477602.6402862,1761477606.4148946,3.7746083736419678,3,3,0.021733,198.97934,0,"10.0.1.1,10.0.2.1,10.0.1.1"
10,1761477606.4148974,1761477607.7709255,1.3560280799865723,3,3,0.014367,198.930284,0,"10.0.2.1,10.0.1.1,10.0.2.1"
11,1761477607.7709262,1761477610.491737,2.720810651779175,3,3,0.017867,189.721243,0,"10.0.1.1,10.0.2.1,10.0.1.1"
12,1761477610.4917376,1761477612.8523798,2.360642194747925,3,3,0.017233,196.480813,0,"10.0.2.1,10.0.1.1,10.0.2.1"
