timestamp,interface,packet_count,pps,bandwidth_mbps,jitter_ms,entropy,ip_shares
1761478431.5329266,h1-eth0,0,0.0,0.0,0.0,0.0,{}
1761478436.5408683,h1-eth0,52,32.708,0.029528,5.53,0.864,"{""10.0.1.11"": 0.115, ""10.0.1.1"": 0.5, ""10.0.1.254"": 0.269, ""10.0.1.12"": 0.115}"
1761478441.5564067,h1-eth0,128,27.514,0.02607,33.628,0.82,"{""10.0.1.11"": 0.141, ""10.0.1.1"": 0.5, ""10.0.1.13"": 0.094, ""10.0.1.254"": 0.219, ""10.0.1.12"": 0.047}"
1761478446.5664039,h1-eth0,116,31.915,0.031179,65.201,0.815,"{""10.0.1.12"": 0.103, ""10.0.1.1"": 0.5, ""10.0.1.254"": 0.241, ""10.0.1.11"": 0.103, ""10.0.1.13"": 0.052}"
1761478451.5751753,h1-eth0,128,31.06,0.030235,95.995,0.82,"{""10.0.1.11"": 0.141, ""10.0.1.1"": 0.5, ""10.0.1.254"": 0.219, ""10.0.1.12"": 0.094, ""10.0.1.13"": 0.047}"
1761478456.5855925,h1-eth0,118,28.542,0.028165,114.328,0.772,"{""10.0.1.1"": 0.5, ""10.0.1.254"": 0.297, ""10.0.1.11"": 0.102, ""10.0.1.13"": 0.051, ""10.0.1.12"": 0.051}"
1761478461.5945404,h1-eth0,154,36.323,0.034977,145.712,0.828,"{""10.0.1.1"": 0.5, ""10.0.1.254"": 0.227, ""10.0.1.12"": 0.078, ""10.0.1.13"": 0.078, ""10.0.1.11"": 0.117}"
